time	V(d)	Id(J1)
0.000000000000000e+00	1.500000e+01	1.203432e-02
1.006310719926526e-02	1.484905e+01	1.203040e-02
2.030310719926485e-02	1.469545e+01	1.202641e-02
3.054310719926443e-02	1.454185e+01	1.202242e-02
4.078310719926732e-02	1.438825e+01	1.201842e-02
5.102310719927046e-02	1.423465e+01	1.201443e-02
6.126310719927359e-02	1.408105e+01	1.201044e-02
7.150310719927049e-02	1.392745e+01	1.200645e-02
8.174310719926652e-02	1.377385e+01	1.200246e-02
9.198310719926255e-02	1.362025e+01	1.199847e-02
1.022231071992586e-01	1.346665e+01	1.199448e-02
1.124631071992546e-01	1.331305e+01	1.199049e-02
1.227031071992506e-01	1.315945e+01	1.198649e-02
1.329431071992577e-01	1.300585e+01	1.198250e-02
1.431831071992679e-01	1.285225e+01	1.197851e-02
1.534231071992782e-01	1.269865e+01	1.197452e-02
1.636631071992884e-01	1.254505e+01	1.197053e-02
1.739031071992987e-01	1.239145e+01	1.196654e-02
1.841431071993089e-01	1.223785e+01	1.196255e-02
1.943831071993191e-01	1.208425e+01	1.195855e-02
2.046231071993294e-01	1.193065e+01	1.195456e-02
2.148631071993396e-01	1.177705e+01	1.195057e-02
2.251031071993499e-01	1.162345e+01	1.194658e-02
2.353431071993601e-01	1.146985e+01	1.194259e-02
2.455831071993703e-01	1.131625e+01	1.193860e-02
2.558231071993806e-01	1.116265e+01	1.193460e-02
2.660631071993908e-01	1.100905e+01	1.193061e-02
2.763031071994010e-01	1.085545e+01	1.192662e-02
2.865431071994113e-01	1.070185e+01	1.192263e-02
2.967831071994215e-01	1.054825e+01	1.191864e-02
3.070231071994318e-01	1.039465e+01	1.191465e-02
3.172631071994420e-01	1.024105e+01	1.191065e-02
3.275031071994522e-01	1.008745e+01	1.190666e-02
3.377431071994625e-01	9.933853e+00	1.190267e-02
3.479831071994727e-01	9.780253e+00	1.189868e-02
3.582231071994830e-01	9.626654e+00	1.189469e-02
3.684631071994932e-01	9.473053e+00	1.189070e-02
3.787031071995035e-01	9.319453e+00	1.188670e-02
3.889431071995137e-01	9.165854e+00	1.188271e-02
3.991831071995239e-01	9.012254e+00	1.187872e-02
4.094231071995342e-01	8.858653e+00	1.187473e-02
4.196631071995444e-01	8.705053e+00	1.187074e-02
4.299031071995547e-01	8.551454e+00	1.186674e-02
4.401431071995649e-01	8.397854e+00	1.186275e-02
4.503831071995751e-01	8.244253e+00	1.185876e-02
4.606231071995854e-01	8.090653e+00	1.185477e-02
4.708631071995956e-01	7.937053e+00	1.185078e-02
4.811031071996059e-01	7.783453e+00	1.184678e-02
4.913431071996161e-01	7.629853e+00	1.184279e-02
5.015831071996175e-01	7.476254e+00	1.183880e-02
5.118231071995709e-01	7.322653e+00	1.183481e-02
5.220631071995243e-01	7.169054e+00	1.183081e-02
5.323031071994777e-01	7.015453e+00	1.182682e-02
5.425431071994311e-01	6.861854e+00	1.182283e-02
5.527831071993845e-01	6.708253e+00	1.181884e-02
5.630231071993379e-01	6.554653e+00	1.181484e-02
5.732631071992913e-01	6.401053e+00	1.181085e-02
5.835031071992447e-01	6.247453e+00	1.180686e-02
5.937431071991981e-01	6.093853e+00	1.180287e-02
6.039831071991515e-01	5.940253e+00	1.179888e-02
6.142231071991049e-01	5.786654e+00	1.179488e-02
6.244631071990583e-01	5.633053e+00	1.179089e-02
6.347031071990117e-01	5.479454e+00	1.178690e-02
6.449431071989651e-01	5.325853e+00	1.178291e-02
6.551831071989185e-01	5.172254e+00	1.177891e-02
6.654231071988719e-01	5.018653e+00	1.177492e-02
6.756631071988253e-01	4.865053e+00	1.177093e-02
6.859031071987787e-01	4.711453e+00	1.176694e-02
6.961431071987321e-01	4.557853e+00	1.176294e-02
7.063831071986855e-01	4.404253e+00	1.175895e-02
7.166231071986389e-01	4.250653e+00	1.175496e-02
7.268631071985923e-01	4.097054e+00	1.175097e-02
7.371031071985457e-01	3.943453e+00	1.174697e-02
7.473431071984991e-01	3.789853e+00	1.174298e-02
7.575831071984525e-01	3.636253e+00	1.173899e-02
7.678231071984059e-01	3.482653e+00	1.173500e-02
7.780631071983592e-01	3.329053e+00	1.173100e-02
7.883031071983126e-01	3.175453e+00	1.172701e-02
7.985431071982660e-01	3.021853e+00	1.172302e-02
8.087831071982194e-01	2.868253e+00	1.169223e-02
8.190231071981728e-01	2.714653e+00	1.160026e-02
8.292631071981262e-01	2.561053e+00	1.144709e-02
8.395031071980796e-01	2.407453e+00	1.123286e-02
8.497431071980330e-01	2.253853e+00	1.095772e-02
8.599831071979864e-01	2.100253e+00	1.062178e-02
8.702231071979398e-01	1.946653e+00	1.022519e-02
8.804631071978932e-01	1.793053e+00	9.768088e-03
8.907031071978466e-01	1.639453e+00	9.250597e-03
9.009431071978000e-01	1.485853e+00	8.672855e-03
9.111831071977534e-01	1.332253e+00	8.034993e-03
9.214231071977068e-01	1.178653e+00	7.337144e-03
9.316631071976602e-01	1.025053e+00	6.579440e-03
9.419031071976136e-01	8.714534e-01	5.762012e-03
9.521431071975670e-01	7.178534e-01	4.884992e-03
9.623831071975204e-01	5.642534e-01	3.948509e-03
9.726231071974738e-01	4.106534e-01	2.952696e-03
9.740845357688958e-01	3.887320e-01	2.805744e-03
9.755459643403176e-01	3.668105e-01	2.657588e-03
9.770073929117395e-01	3.448891e-01	2.508227e-03
9.784688214831615e-01	3.229677e-01	2.357662e-03
9.799302500545835e-01	3.010463e-01	2.205892e-03
9.813916786260053e-01	2.791248e-01	2.052918e-03
9.828531071974272e-01	2.572034e-01	1.898739e-03
9.828631071974272e-01	2.570534e-01	1.897680e-03
9.843245357688492e-01	2.351320e-01	1.742290e-03
9.857859643402710e-01	2.132105e-01	1.585698e-03
9.872473929116929e-01	1.912891e-01	1.427904e-03
9.887088214831149e-01	1.693677e-01	1.268908e-03
9.901702500545368e-01	1.474462e-01	1.108710e-03
9.916316786259587e-01	1.255248e-01	9.473107e-04
9.930931071973806e-01	1.036034e-01	7.847092e-04
9.931031071973806e-01	1.034534e-01	7.835925e-04
9.940859643402332e-01	8.871053e-02	6.735574e-04
9.950688214830860e-01	7.396768e-02	5.629797e-04
9.960516786259386e-01	5.922482e-02	4.518594e-04
9.970345357687913e-01	4.448196e-02	3.401964e-04
9.980173929116439e-01	2.973911e-02	2.279909e-04
9.990002500544967e-01	1.499625e-02	1.152427e-04
9.999831071973493e-01	2.533920e-04	1.951877e-06
9.999931071973492e-01	1.033920e-04	7.964294e-07
1.000000000000000e+00	0.000000e+00	-2.363406e-11
